moniker,operator_address,staked,delegator_shares,greed,ownership,power,jailed_times_100_000,jailed_times_all,isjailed,validator_rank,cost_optimization,cost_endorsement,decentralization,decentralization_endorsement,confidence,confidence_endorsement,superintelligence,superintelligence_endorsement,reliability,reliability_endorsement,total
cyberdBot,bostromvaloper135ca8hdpy9sk0ntwqzpzsvatyl48ptx52tn60p,7139721542383,7140435585840.846,0.02,0.02302154330071249,1001652.7179759999,0,1,False,2.0,2500.0,3036682562118,2.0,11027869343,0.8166374608216171,346391586760,6.000717607394884,811641536439,1.9998000100282134,154634764870,4360378319530
POSTHUMAN∞DVS,bostromvaloper1ccvpcq9ffy0qd2ca8nmmpzfamtyjfc9zt56fhc,6532532664955,6534492816503.552,0.0199,0.00813962177215784,201952.68521400003,0,3,False,3.0,2525.1887578596497,3067278666819,3.0,16541804015,0.4510508672658651,191321404071,5.30525178250478,717574628515,1.9994001500620486,154603845652,4147320349072
DragonBall,bostromvaloper1dt9lwmuq8rkngm5gajxchqhpcnavgp7m4lt66x,869466973049,869640892367.731,0.05,0.21333777841903886,25901582.124800004,1,2,False,38.0,399.99999999999994,485869209938,38.0,209529517530,0.9999998509983455,424168069388,7.413326309307229,1002707334269,1.4996000603715598,115956746460,2238230877585
Godzilla,bostromvaloper1dxpm2ne0jflzr2hy9j5has6u2dvfv68c99mvs8,2310853750902,2310853750902.0,0.0444,0.025964429802872675,616367.1252750001,0,0,False,11.0,507.26402077753426,616159922514,11.0,60653281390,0.8523823639308011,361553435561,5.789840171618233,783118800131,3.0,231975343676,2053460783272
Developer,bostromvaloper19ys53t55r725j882gjcrnf7s449gdrdsfddgvk,1248350013158,1248350013158.0,0.08,0.03676042080610917,1095141.616125,0,0,False,26.0,156.25,189792660132,26.0,143362301468,0.9333705030761245,395906023304,6.039470679325006,816883176673,3.0,231975343676,1777919505253
cyberG,bostromvaloper1en69twaxmv7xupy8lq7y539dpecx7yz8s43ceg,3180052907915,3181007114471.1826,0.1,0.11124723877344245,36156037.6709,0,3,False,7.0,99.99999999999999,121467302484,7.0,38597542703,0.9997245210878902,424051283214,7.558180842223402,1022299983573,1.999400150074991,154603845653,1761019957627
Papsan | in UA but stable,bostromvaloper18naxcfp2s397a2ucav2m53f003uylk3q6lwnna,1343941495125,1344344757924.1172,0.1,0.10680701668017857,6211194.34078,0,3,False,23.0,99.99999999999999,121467302484,23.0,126820497452,0.9996179013825908,424006058533,6.79317518792995,918827298261,1.9994001504250836,154603845680,1745725002410
blue,bostromvaloper1ymprf45c44rp9k0g2r84w2tjhsq7kalvaayh3g,1966264516211,1967641451887.7007,0.077,0.08029613253421368,1879149.792366,0,7,False,14.0,168.66250632484397,204869796735,14.0,77195085406,0.9973052172484692,423025091623,6.273961631438921,848599816100,1.9986009098430828,154542044310,1708231834174
web34ever ∞ DVS,bostromvaloper15zs0cjct43xs4z4sesxcrynar5mxm82fh73g0j,1150941825755,1151402317376.053,0.1,0.21750614821195055,2175765.4999079998,0,4,False,27.0,99.99999999999999,121467302484,27.0,148876236140,0.9999998904018415,424168086102,6.337612285675612,857209038893,1.9992002803370466,154588390702,1706309054321
weiss,bostromvaloper1369tzcr8a79h3ryd9kl0kneurwssmmsq7ur6gf,6111941857,6111941857.0,0.05,0.8109421452240101,0.0,0,0,False,93.0,399.99999999999994,485869209938,93.0,512795924483,1.0,424168132590,0.0,0,3.0,231975343676,1654808610687
ForTheFutureWeNeed,bostromvaloper1s6v5ragv9gg3sq7j3aeqtyy82uaxv3y0vd9g8y,18550976326,18550976326.0,0.05,0.8200819952898042,0.0,0,0,False,92.0,399.99999999999994,485869209938,92.0,507281989811,1.0,424168132590,0.0,0,3.0,231975343676,1649294676015
Space,bostromvaloper1lnkg57t7mvg5mcl7kdkevtgr9wlf6f9qnmq9q4,1895712020223,1895712020223.0,0.05,0.040264332720758425,1213.753927,0,0,False,15.0,399.99999999999994,485869209938,15.0,82709020077,0.9485315187724686,402336843020,3.0844883117043165,417199907783,3.0,231975343676,1620090324494
Veterano,bostromvaloper1r798qg4dk8ffwaexz996e0anaz4x7yvqcuyel4,60760384524,60760384524.0,0.05,0.16714964283987388,0.0,0,0,False,85.0,399.99999999999994,485869209938,85.0,468684447108,0.9999955206868091,424166232608,0.0,0,3.0,231975343676,1610695233330
kirock,bostromvaloper1qkw8dtdansmvayk2jxfkpel9q4d20rvf05lk94,104861442374,104861442374.0,0.05,0.013943772218820233,31.930859999999996,0,0,False,72.0,399.99999999999994,485869209938,72.0,397003296373,0.6420690204197015,272345217385,1.517603072600078,205267064731,3.0,231975343676,1592460132103
dobry,bostromvaloper1fpl40sref5vp8kfm7xkqlq5qc0v4xrjvwazf77,2131909747793,2131909747793.0,0.05,0.014071890252885546,4694.391936,0,0,False,12.0,399.99999999999994,485869209938,12.0,66167216062,0.6454320210288733,273771695073,3.6716718497518,496620833775,3.0,231975343676,1554404298524
2friends,bostromvaloper1pt0x7tu4df8jyp3kjs970m3e97xkks96mvs04z,1018294941925,1018294941925.0,0.035,0.006685381099046452,0.0,0,0,False,30.0,816.3265306122448,991569816201,30.0,165418040155,0.3889625834739935,164985532679,0.0,0,3.0,231975343676,1553948732711
spectrum,bostromvaloper15n3t80p7eseld809f7fu3s9tlcezlymk3rmt4s,950723868979,950914042189.3921,0.05,0.012400751573284016,3324.5552000000002,0,2,False,33.0,399.99999999999994,485869209938,33.0,181959844171,0.5989708427074281,254064343827,3.5218641609677754,476358233424,1.999600060182952,154619303725,1552870935085
baddeepbeat,bostromvaloper13hepw93y8mjcew7mfra5z7ju7k658534lh5rkk,478890865335,478986657099.5955,0.042,0.0217469538800135,2.025042,0,2,False,43.0,566.8934240362811,688590150140,43.0,237099190890,0.7985823726223021,338733193714,0.48073140882042614,65022486442,1.9996000632395243,154619303961,1484064325147
Mordor,bostromvaloper1vmwdqm6c4qq2hw0y2s6fevvf90qrh35srdduj3,111214524807,111270147150.75351,0.04,0.006380786468597441,0.0,0,5,False,71.0,625.0,759170640529,71.0,391489361702,0.3750938007652558,159102837016,0.0,0,1.9990004786949018,154572941018,1464335780265
subi,bostromvaloper1fvh29xlzzatu390p3lpe7uhdsl7dpffct9pjqr,100577225450,100577225450.0,0.05,0.003948773991557747,31.039956,0,0,False,77.0,399.99999999999994,485869209938,77.0,424572969733,0.2524517446240472,107081985086,1.5056919110023896,203655991834,3.0,231975343676,1453155500267
PensionFund4ALL,bostromvaloper1nmr4flrrzrka3lanfwxklunsapr92fqqvewuaj,303263713160,303294042563.05493,0.05,0.010061180641121449,160.811805,0,1,False,50.0,399.99999999999994,485869209938,50.0,275696733593,0.5235226952028484,222061643992,2.209010202439044,298785004065,1.9998000100079212,154634764868,1437047356456
2WAy,bostromvaloper1ahqvg92jdt09dkfwwct0frg0dh2euafktp88qx,70875447399,70875447399.0,0.05,0.011992555012950684,0.0,0,0,False,80.0,399.99999999999994,485869209938,80.0,441114773748,0.5867258516548923,248870408839,0.0,0,3.0,231975343676,1407829736201
UmbrellaIT,bostromvaloper1a37z37ce2qvnvvadky9y7m09qwcz3k0prapt73,101396279849,101396279849.0,0.05,0.012100110544756836,0.0,0,0,False,75.0,399.99999999999994,485869209938,75.0,413545100389,0.5899880991517877,250254150267,0.0,0,3.0,231975343676,1381643804270
qwertys318,bostromvaloper1402rpwdquxxkgvl740f6w69l65eau5vkcztud9,1566590820500,1566590820500.0,0.1,0.010553489643660274,52933.339563,0,0,False,18.0,99.99999999999999,121467302484,18.0,99250824093,0.5404970208935445,229261612023,4.723737498960299,638920511218,3.0,231975343676,1320875593494
POSTCAPITALIST🎩,bostromvaloper1zaefvwrgk2g45k68a3ngahgq0xky5zgeluu86f,885666561112,885666561112.0,0.05,0.0284906319239584,0.0,0,0,False,36.0,399.99999999999994,485869209938,36.0,198501648186,0.8774538198792072,372187948212,0.0,0,3.0,231975343676,1288534150012
CatsRuleTheWorld,bostromvaloper1kn8tm2zj68tnv2vm3t6e5nnjrghqhql295zu9g,404036633761,404077041448.8241,0.05,0.008365992191191931,20.538179999999997,1,1,False,45.0,399.99999999999994,485869209938,45.0,248127060233,0.4601311746986799,195172981118,1.3332090021489806,180326399890,1.4998000100807725,115972207594,1225467858773
Galaxy,bostromvaloper1ngymhfhty76w8r6e8dlyvj68g5zfm09q2p7dmn,273449651069,273476998715.41855,0.05,0.004995090334400678,22.383525000000002,1,1,False,52.0,399.99999999999994,485869209938,52.0,286724602936,0.3079187087427636,130609303677,1.3689099804209623,185155221833,1.4998000103908748,115972207618,1204330546002
777stakes,bostromvaloper19yyulmnkzwyuq9tzfhy4vdvftp0dsdvcqm3dde,358970152922,358970152922.0,0.1,0.007088998308873167,1088.416812,0,0,False,47.0,99.99999999999999,121467302484,47.0,259154929577,0.40686704551806796,172580034910,3.037194073069013,410803011442,3.0,231975343676,1195980622089
